% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.025500000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
% f evaluations | g evaluations | best noise-free fitness - Fopt (1.814100000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +5.327938622e+01 +2.346893862e+02 +2.346893862e+02 +4.5604e+00 +3.8420e+00 -2.3169e+00 -3.3234e+00 -1.6450e+00
5 0 +3.782760924e+01 +2.192376092e+02 +2.192376092e+02 -5.5094e-01 +3.7126e+00 -3.2976e+00 +3.4939e+00 -6.3713e-01
7 0 +2.974788324e+01 +2.111578832e+02 +2.111578832e+02 +5.2897e-01 +2.1166e+00 -4.7908e+00 -6.2183e-01 -4.3878e+00
13 0 +9.628234804e+00 +1.910382348e+02 +1.910382348e+02 -1.8336e+00 -2.0358e+00 +5.8076e-01 +3.8750e+00 -1.9204e+00
103 0 +7.388825141e+00 +1.887988251e+02 +1.887988251e+02 -1.4986e+00 -4.0641e-01 -3.7277e+00 -1.2656e+00 -1.3626e+00
179 0 +4.364727653e+00 +1.857747277e+02 +1.857747277e+02 -1.3934e+00 +4.2436e-01 -4.4486e+00 -3.5598e+00 -1.1585e+00
214 0 +1.260158183e+00 +1.826701582e+02 +1.826701582e+02 +4.8203e-01 +1.0350e+00 -1.5195e-01 -1.3089e+00 -2.9678e-01
5538 0 +9.996344481e-01 +1.824096344e+02 +1.824096344e+02 -2.3621e+00 +2.3400e-01 -1.6108e+00 -6.7694e-01 -1.1991e+00
8137 0 +8.734312748e-01 +1.822834313e+02 +1.822834313e+02 -6.7276e-01 +7.5188e-01 -2.2462e+00 -1.8833e+00 -3.8290e-01
12248 0 +4.366368766e-01 +1.818466369e+02 +1.818466369e+02 -1.1604e+00 +1.1026e+00 -9.4483e-01 -4.8886e-01 -1.0146e+00
42220 0 +4.366368766e-01 +1.818466369e+02 +1.818466369e+02 -1.1604e+00 +1.1026e+00 -9.4483e-01 -4.8886e-01 -1.0146e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-8.350000000000e+00) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.076621529e+02 +9.931215285e+01 +9.931215285e+01 +4.1066e+00 -4.0403e+00 +2.3719e+00 +3.3160e+00 -3.6721e+00
2 0 +5.572369863e+01 +4.737369863e+01 +4.737369863e+01 +9.8898e-01 +4.1106e+00 +4.0388e+00 -1.4768e+00 -1.9213e-01
7 0 +1.161818957e+01 +3.268189566e+00 +3.268189566e+00 -1.0028e+00 +2.8129e+00 -1.0972e+00 +1.2681e+00 -1.6422e+00
30 0 +1.071697166e+01 +2.366971662e+00 +2.366971662e+00 +3.9089e-01 -8.5727e-01 +1.6185e+00 +2.2883e+00 +2.9116e+00
56 0 +8.158807804e+00 -1.911921962e-01 -1.911921962e-01 -1.3300e+00 +1.9014e+00 +4.6499e+00 -3.8623e-01 +1.9486e+00
194 0 +5.360478382e+00 -2.989521618e+00 -2.989521618e+00 +2.2110e+00 +2.2799e+00 -4.0239e-01 -1.6600e+00 -7.4351e-01
977 0 +1.892026281e+00 -6.457973719e+00 -6.457973719e+00 +7.9868e-01 -1.5787e+00 +4.3020e-01 +1.1818e+00 +4.1751e-01
36420 0 +1.315303838e+00 -7.034696162e+00 -7.034696162e+00 +2.1439e+00 -1.4385e+00 -7.9936e-02 -4.1580e-01 -2.2999e+00
42220 0 +1.315303838e+00 -7.034696162e+00 -7.034696162e+00 +2.1439e+00 -1.4385e+00 -7.9936e-02 -4.1580e-01 -2.2999e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-2.563800000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +5.850532295e+01 -1.978746771e+02 -1.978746771e+02 +8.7460e-01 +2.5821e+00 +1.6674e+00 +2.8847e+00 +4.9859e+00
4 0 +2.580811394e+01 -2.305718861e+02 -2.305718861e+02 -9.9044e-01 -1.2322e+00 +3.9400e+00 +2.4902e+00 -2.5215e+00
8 0 +2.245174516e+01 -2.339282548e+02 -2.339282548e+02 +5.4618e-01 +1.2603e+00 -8.1799e-01 +3.7043e+00 -2.0245e+00
9 0 +1.263365908e+01 -2.437463409e+02 -2.437463409e+02 +1.7263e+00 -1.1891e+00 +6.9515e-01 -2.8216e-01 -1.4105e+00
22 0 +1.091973800e+01 -2.454602620e+02 -2.454602620e+02 -1.6691e-01 +8.9697e-01 +1.8187e-01 +6.3478e-01 +3.0745e+00
99 0 +6.324001054e+00 -2.500559989e+02 -2.500559989e+02 -2.9493e+00 -2.0512e+00 -1.7326e+00 +3.3860e+00 +4.7218e+00
383 0 +5.780307504e+00 -2.505996925e+02 -2.505996925e+02 +1.7038e+00 -1.9451e+00 -2.4789e+00 +1.0996e+00 -9.4272e-01
601 0 +4.314606377e+00 -2.520653936e+02 -2.520653936e+02 -9.4297e-01 -2.1293e+00 -1.2207e+00 -1.1723e+00 +1.0937e+00
2204 0 +2.581862417e+00 -2.537981376e+02 -2.537981376e+02 -2.9112e-02 -9.8914e-01 -2.0034e+00 +1.7267e-01 +2.2926e-01
2468 0 +1.452666167e+00 -2.549273338e+02 -2.549273338e+02 -2.4884e+00 -2.3325e+00 -1.9977e+00 +2.7692e+00 +1.3209e+00
