% f evaluations | g evaluations | best noise-free fitness - Fopt (-5.235000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +6.365678814e+01 +1.130678814e+01 +1.130678814e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 0 +2.747655114e+01 -2.487344886e+01 -2.487344886e+01 -2.9289e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
4 0 +1.719084564e+01 -3.515915436e+01 -3.515915436e+01 -4.5498e+00 -1.6209e+00 -1.6209e+00 -1.6209e+00 -1.6209e+00
10 0 +9.722306058e+00 -4.262769394e+01 -4.262769394e+01 -1.6209e+00 -4.5498e+00 -1.6209e+00 -1.6209e+00 -1.6209e+00
19 0 +1.824914240e+00 -5.052508576e+01 -5.052508576e+01 -1.6209e+00 -1.6209e+00 +1.3081e+00 -1.6209e+00 -1.6209e+00
216 0 +1.666315986e+00 -5.068368401e+01 -5.068368401e+01 -1.9200e-01 -1.8864e+00 +9.5186e-01 -2.4636e+00 -2.0013e+00
218 0 +1.096729803e+00 -5.125327020e+01 -5.125327020e+01 -1.9200e-01 -1.8864e+00 +1.9525e+00 -2.4636e+00 -2.0013e+00
223 0 +7.259294112e-01 -5.162407059e+01 -5.162407059e+01 -1.1927e+00 -1.8864e+00 +1.9525e+00 -2.4636e+00 -1.0006e+00
226 0 +5.015265868e-01 -5.184847341e+01 -5.184847341e+01 -1.1927e+00 -8.8573e-01 +1.9525e+00 -2.4636e+00 -1.0006e+00
244 0 +4.000858899e-01 -5.194991411e+01 -5.194991411e+01 -6.9233e-01 -8.8573e-01 +1.9525e+00 -2.4636e+00 -1.0006e+00
248 0 +3.081539829e-01 -5.204184602e+01 -5.204184602e+01 -6.9233e-01 -8.8573e-01 +2.4528e+00 -2.4636e+00 -1.0006e+00
251 0 +2.050337505e-01 -5.214496625e+01 -5.214496625e+01 -6.9233e-01 -8.8573e-01 +2.4528e+00 -2.4636e+00 -1.5010e+00
265 0 +9.285702002e-02 -5.225714298e+01 -5.225714298e+01 -6.9233e-01 -1.1359e+00 +2.4528e+00 -2.4636e+00 -1.5010e+00
270 0 +3.637771779e-02 -5.231362228e+01 -5.231362228e+01 -6.9233e-01 -1.1359e+00 +2.4528e+00 -2.2135e+00 -1.5010e+00
303 0 +3.088176778e-02 -5.231911823e+01 -5.231911823e+01 -7.5487e-01 -1.1359e+00 +2.4528e+00 -2.0884e+00 -1.5010e+00
309 0 +1.985469901e-02 -5.233014530e+01 -5.233014530e+01 -7.5487e-01 -1.1359e+00 +2.4528e+00 -2.1509e+00 -1.5010e+00
319 0 +1.211669576e-02 -5.233788330e+01 -5.233788330e+01 -7.5487e-01 -1.1359e+00 +2.4528e+00 -2.2135e+00 -1.5635e+00
350 0 +1.055355714e-02 -5.233944644e+01 -5.233944644e+01 -7.5487e-01 -1.1359e+00 +2.4528e+00 -2.2447e+00 -1.5635e+00
352 0 +9.689323495e-03 -5.234031068e+01 -5.234031068e+01 -7.5487e-01 -1.1359e+00 +2.4528e+00 -2.2447e+00 -1.5322e+00
408 0 +8.763489720e-03 -5.234123651e+01 -5.234123651e+01 -7.5487e-01 -1.1398e+00 +2.4489e+00 -2.2447e+00 -1.5322e+00
