% f evaluations | g evaluations | best noise-free fitness - Fopt (-6.211100000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
410 0 +3.878097284e+04 +3.920001284e+04 +3.920001284e+04 -2.8319e+00 -3.2697e+00 +2.9005e+00
413 0 +2.161876381e+04 +2.203780381e+04 +2.203780381e+04 -3.0944e+00 -2.7613e+00 +2.8028e+00
418 0 +4.808701446e+03 +5.227741446e+03 +5.227741446e+03 -3.1342e+00 -3.0954e+00 +2.9062e+00
533 0 +3.192046476e+03 +3.611086476e+03 +3.611086476e+03 -3.4321e+00 -2.6788e+00 +2.6546e+00
544 0 +2.511192886e+03 +2.930232886e+03 +2.930232886e+03 -3.3070e+00 -2.6788e+00 +2.6546e+00
555 0 +2.104927985e+02 +6.295327985e+02 +6.295327985e+02 -3.3695e+00 -2.6788e+00 +2.6546e+00
570 0 +4.082017962e+01 +4.598601796e+02 +4.598601796e+02 -3.3695e+00 -2.6475e+00 +2.6546e+00
585 0 +1.053634858e+00 +4.200936349e+02 +4.200936349e+02 -3.3774e+00 -2.6475e+00 +2.6546e+00
606 0 +5.178192795e-01 +4.195578193e+02 +4.195578193e+02 -3.3774e+00 -2.6455e+00 +2.6546e+00
615 0 +3.837816715e-01 +4.194237817e+02 +4.194237817e+02 -3.3783e+00 -2.6455e+00 +2.6546e+00
628 0 +2.896332179e-01 +4.193296332e+02 +4.193296332e+02 -3.3778e+00 -2.6455e+00 +2.6546e+00
655 0 +2.814062123e-01 +4.193214062e+02 +4.193214062e+02 -3.3778e+00 -2.6457e+00 +2.6547e+00
30000 0 +2.732735987e-01 +4.193132736e+02 +4.193132736e+02 -3.3741e+00 -2.6503e+00 +2.6583e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-2.568000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.348211536e+07 +1.348208968e+07 +1.348208968e+07 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 0 +6.030009177e+06 +6.029983497e+06 +6.029983497e+06 -2.5673e+00 -1.2343e+00 +8.9066e-01
3 0 +9.600451784e+05 +9.600194984e+05 +9.600194984e+05 -2.2666e+00 -1.3739e+00 -9.1695e-01
